         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/_config.py:233(config_context)
      177    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/enum.py:198(__get__)
       38    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:440(__enter__)
        5    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_shape_base_impl.py:621(column_stack)
       10    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:3010(__init__)
       24    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:486(__contains__)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:11(construct_heatmap)
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_indexing.py:158(_determine_key_type)
      308    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:592(__exit__)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:758(partition)
       51    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:318(_use_interchange_protocol)
        2    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:496(_get_format_function)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:602(restore_original_limits)
      102    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       14    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/_config.py:63(set_config)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/logging/__init__.py:1130(flush)
       40    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:801(_extendLine_pretty)
       24    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:196(set_num_threads)
